X370..._SD_t2A	X370..._SD_t2B	X370..._SD_t7C	X370..._W_t2A	X370..._W_t2B	X370..._W_t7C	X432..._SD_t2A	X432..._SD_t2B	X432..._SD_t2C	X432..._SD_t7C	X432..._SD_t7D	X432..._W_t2A	X432..._W_t2B	X432..._W_t7C	X432..._W_t7D
370(-)_SD_t2A	0	0.127817163601924	0.136295761264908	0.0885936656275699	0.0939298591631764	0.189998655501412	0.132505602822253	0.0984599970592651	0.0971775346737825	0.162506493148391	0.232445891839188	0.13595340887542	0.127442244037157	0.197747338565412	0.158830527746942
370(-)_SD_t2B	0.127817163601924	0	0.182601173514843	0.160094880925195	0.131961685115272	0.192135795744818	0.120617539212966	0.162011649263548	0.152952680483508	0.219693643848651	0.239703769529856	0.139789153401589	0.124845930989168	0.26318548907963	0.226807164587438
370(-)_SD_t7C	0.136295761264908	0.182601173514843	0	0.145570737568132	0.146966779458116	0.142020857231697	0.153903809646806	0.175919092449051	0.164278969961688	0.144520072008094	0.197254545616018	0.14640009973561	0.152470229755772	0.178022085614688	0.143513377571514
370(-)_W_t2A	0.0885936656275699	0.160094880925195	0.145570737568132	0	0.0914727599578187	0.185758135474295	0.130913092232535	0.133144785379647	0.101715127360136	0.150940943240842	0.2195661585308	0.126929238803435	0.129790790700398	0.193767857568639	0.166346401263992
370(-)_W_t2B	0.0939298591631764	0.131961685115272	0.146966779458116	0.0914727599578187	0	0.191714783385729	0.105826638336599	0.109457307768304	0.085420052761827	0.160511184792531	0.224836099864112	0.115260211991987	0.100805142420796	0.211067524447892	0.177635943539462
370(-)_W_t7C	0.189998655501412	0.192135795744818	0.142020857231697	0.185758135474295	0.191714783385729	0	0.160862509507758	0.225817328875804	0.205974183523975	0.150442253995062	0.141341297306431	0.159128829574142	0.168035653447293	0.146266032128358	0.159697754653206
432(-)_SD_t2A	0.132505602822253	0.120617539212966	0.153903809646806	0.130913092232535	0.105826638336599	0.160862509507758	0	0.124906533538355	0.111817123188699	0.175409189727968	0.187884826751787	0.0715900408757626	0.0295481667967464	0.216078387234107	0.185780936989909
432(-)_SD_t2B	0.0984599970592651	0.162011649263548	0.175919092449051	0.133144785379647	0.109457307768304	0.225817328875804	0.124906533538355	0	0.0838771567549982	0.18319127489573	0.252483674055646	0.118079177713244	0.117827689025713	0.216653372228753	0.170271078601025
432(-)_SD_t2C	0.0971775346737825	0.152952680483508	0.164278969961688	0.101715127360136	0.085420052761827	0.205974183523975	0.111817123188699	0.0838771567549982	0	0.154657632151555	0.233915682314871	0.115216200869676	0.102924912871221	0.19586214485996	0.15237926367733
432(-)_SD_t7C	0.162506493148391	0.219693643848651	0.144520072008094	0.150940943240842	0.160511184792531	0.150442253995062	0.175409189727968	0.18319127489573	0.154657632151555	0	0.13993615958368	0.175419504268321	0.172108706986117	0.138904203351671	0.123226369250446
432(-)_SD_t7D	0.232445891839188	0.239703769529856	0.197254545616018	0.2195661585308	0.224836099864112	0.141341297306431	0.187884826751787	0.252483674055646	0.233915682314871	0.13993615958368	0	0.186495634672446	0.192178263503365	0.150235869789782	0.189682904723767
432(-)_W_t2A	0.13595340887542	0.139789153401589	0.14640009973561	0.126929238803435	0.115260211991987	0.159128829574142	0.0715900408757626	0.118079177713244	0.115216200869676	0.175419504268321	0.186495634672446	0	0.0693275368248058	0.203323390233253	0.171452198786236
432(-)_W_t2B	0.127442244037157	0.124845930989168	0.152470229755772	0.129790790700398	0.100805142420796	0.168035653447293	0.0295481667967464	0.117827689025713	0.102924912871221	0.172108706986117	0.192178263503365	0.0693275368248058	0	0.213735005845788	0.182562166937065
432(-)_W_t7C	0.197747338565412	0.26318548907963	0.178022085614688	0.193767857568639	0.211067524447892	0.146266032128358	0.216078387234107	0.216653372228753	0.19586214485996	0.138904203351671	0.150235869789782	0.203323390233253	0.213735005845788	0	0.102264229292586
432(-)_W_t7D	0.158830527746942	0.226807164587438	0.143513377571514	0.166346401263992	0.177635943539462	0.159697754653206	0.185780936989909	0.170271078601025	0.15237926367733	0.123226369250446	0.189682904723767	0.171452198786236	0.182562166937065	0.102264229292586	0
