	pielou_e
370(-)_SD_t2A	0.6881608401476128
370(-)_SD_t2B	0.7179080905927414
370(-)_SD_t7C	0.7605110789465453
370(-)_t2A	0.7636151965951565
370(-)_W_t2A	0.6762191733649543
370(-)_W_t2B	0.696459229747486
370(-)_W_t7C	0.7800193928120109
432(-)_t2B	0.6698102744864657
432(-)_SD_t2A	0.6727456209804593
432(-)_SD_t2B	0.6187398054363684
432(-)_SD_t2C	0.6356430520566011
432(-)_SD_t7C	0.7073883901582135
432(-)_SD_t7D	0.7256935313728844
432(-)_t2C	0.7208250834221963
432(-)_W_t2A	0.571136005023976
432(-)_W_t2B	0.6560742912666768
432(-)_W_t7C	0.7292919464988438
432(-)_W_t7D	0.6834471885353367
