CH_DT_A	CH_DT_B	CH_DT_C	CH_W_A	CH_W_B	CH_W_C	CH_W_D	PP_CT_D	PP_DT_B	PP_W_A	PP_W_B	PP_W_C	PP_W_D
CH_DT_A	0	0.0899322581907574	0.174738573387886	0.427274448033973	0.446446862187826	0.454031271355777	0.407023619993979	0.241043874897052	0.233201772769448	0.432682904005449	0.43884001820589	0.441172486118166	0.432649552722238
CH_DT_B	0.0899322581907574	0	0.173618446216023	0.425372618900453	0.442763555479963	0.448416645191496	0.400683773601801	0.228155892343687	0.235216380228855	0.433753495424894	0.437982401073631	0.442892224283952	0.433101404779069
CH_DT_C	0.174738573387886	0.173618446216023	0	0.451191135050238	0.460280135039739	0.474098231042414	0.419240858918043	0.23693379622017	0.240523882247866	0.462438902353061	0.464568976398366	0.469253638127717	0.46083852440813
CH_W_A	0.427274448033973	0.425372618900453	0.451191135050238	0	0.0922636325787912	0.118725272284086	0.139211095077104	0.484448983877076	0.477939047681018	0.251224707004504	0.266468833713207	0.261133178389463	0.268169547662344
CH_W_B	0.446446862187826	0.442763555479963	0.460280135039739	0.0922636325787912	0	0.120290802239827	0.133146694132645	0.502274303495258	0.494297752582804	0.259789927076108	0.272346782071536	0.270319931808434	0.278283080234406
CH_W_C	0.454031271355777	0.448416645191496	0.474098231042414	0.118725272284086	0.120290802239827	0	0.177945450694908	0.507273104072001	0.499889981163563	0.279888048096191	0.28967748864996	0.290770090631149	0.294996574866155
CH_W_D	0.407023619993979	0.400683773601801	0.419240858918043	0.139211095077104	0.133146694132645	0.177945450694908	0	0.460631479238643	0.454374517027977	0.233325854643345	0.231244712138821	0.24128782114801	0.235239248095428
PP_CT_D	0.241043874897052	0.228155892343687	0.23693379622017	0.484448983877076	0.502274303495258	0.507273104072001	0.460631479238643	0	0.0970408455403812	0.481143503095507	0.485105706011704	0.490553643818407	0.480771296738396
PP_DT_B	0.233201772769448	0.235216380228855	0.240523882247866	0.477939047681018	0.494297752582804	0.499889981163563	0.454374517027977	0.0970408455403812	0	0.465302019152921	0.470356630679216	0.473074057524388	0.466510270685988
PP_W_A	0.432682904005449	0.433753495424894	0.462438902353061	0.251224707004504	0.259789927076108	0.279888048096191	0.233325854643345	0.481143503095507	0.465302019152921	0	0.14731534164597	0.135413877207832	0.153434790459692
PP_W_B	0.43884001820589	0.437982401073631	0.464568976398366	0.266468833713207	0.272346782071536	0.28967748864996	0.231244712138821	0.485105706011704	0.470356630679216	0.14731534164597	0	0.134493518061962	0.138796210494203
PP_W_C	0.441172486118166	0.442892224283952	0.469253638127717	0.261133178389463	0.270319931808434	0.290770090631149	0.24128782114801	0.490553643818407	0.473074057524388	0.135413877207832	0.134493518061962	0	0.151975202385551
PP_W_D	0.432649552722238	0.433101404779069	0.46083852440813	0.268169547662344	0.278283080234406	0.294996574866155	0.235239248095428	0.480771296738396	0.466510270685988	0.153434790459692	0.138796210494203	0.151975202385551	0
